Section,Original Text/Value,Updated Text/Value,Reason,Reviewer Issue,Source,Status
Table 8,A7 – Full PsyAdapt / col2: 0.105,0.106,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A7 – Full PsyAdapt / col3: 0.607,0.609,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A7 – Full PsyAdapt / col4: 0.631,0.622,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A7 – Full PsyAdapt / col5: 0.787,0.69,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
Table 8,A7 – Full PsyAdapt / col6: 2.395,2.30,Outdated value replaced with the verified updated result; grounding left undefined for the configuration without retrieval,"R07, R16",tables/baseline_comparison.csv,RESOLVED
4.4 Baseline Comparison,"From the Table 8 it can be concluded that the use of standard RAG for A1 significantly increases the value of BERTScore-F1, ROUGE-L F1, and input relevance metrics compared to the LLM benchmark. In turn, A2 shows improvements in all the above metrics while increasing the number of grounding supports and decreasing the number of defects per response. This implies that a combination of retrieved information, user profiling, and classifier-guided strategy selection positively influences all the considered measures.","Table 8 shows that adding standard retrieval (A1) raises BERTScore-F1 from 0.589 to 0.613, ROUGE-L F1 from 0.081 to 0.095, and input relevance from 0.553 to 0.581 relative to the generic LLM baseline, while reducing detected defects from 1.41 to 0.98 per response. Adding user profiling and classifier-selected strategy guidance (A2) improves each of these further and raises grounding support from 0.482 to 0.615. Grounding support is not reported for A0 because that configuration retrieves no passages and the metric is undefined without them.",Values updated; grounding omission explained,"R07, R04",tables/baseline_comparison.csv,RESOLVED
4.4 Baseline Comparison,"The full version of the PsyAdapt architecture, A7, performs better in terms of BERTScore-F1, ROUGE-L F1, and input relevance in comparison with other configurations. At the same time, the grounding support for A7 is slightly better than in A2, and the defects per response metric for A7 is slightly worse than in A2. However, A7 demonstrates the longest latency of all configurations.","The full configuration (A7) records the highest values on BERTScore-F1 (0.634), ROUGE-L F1 (0.106), input relevance (0.609), and grounding support (0.622), and the lowest defect count (0.69 per response), at the cost of the highest latency (2.3 s). The margin over A2 is small: +0.005 on BERTScore-F1, +0.002 on ROUGE-L F1, +0.006 on input relevance, and +0.007 on grounding support. Paired testing (Section 4.10) shows that the BERTScore-F1 differences from A0 and A1 remain significant after Holm correction, whereas the difference from A2 does not. The evidence in this table therefore supports the conclusion that retrieval and user profiling account for most of the measured improvement, and it does not support a claim that the full configuration outperforms A2.",'Performs better' claim replaced with the statistical outcome,R02 Statistical - unsupported superiority claim,"tables/baseline_comparison.csv, tables/statistical_contrasts_bertscore.csv",RESOLVED
4.5 Response Quality Analysis,"Among the tested configurations, the proposed PsyAdapt system (A7) scored BERTScore-F1 equal to 0.632 and ROUGE-L F1 equal to 0.105, which indicates the similarity of the measured responses to the reference responses. The score of the input relevance is 0.607, while the score of the grounding support equals 0.631. Thus, it should be noted that the configuration A7 reached the best values in comparison with other tested configurations according to these measures, although the difference from the configuration A2 is insignificant.","Among the tested configurations, the full PsyAdapt system (A7) recorded a BERTScore-F1 of 0.634 and a ROUGE-L F1 of 0.106, an input-relevance score of 0.609, and a grounding-support score of 0.622. These are the highest values observed in the comparison, but the margin over configuration A2 is 0.005 on BERTScore-F1 and does not reach significance after correction for multiple comparisons (Section 4.10), so A7 is described here as numerically highest rather than as better.",Values updated and claim strength matched to evidence,"R02, R07","tables/ablation_study.csv, tables/statistical_contrasts_bertscore.csv",RESOLVED
4.5 Response Quality Analysis,"The score of the response defects is equal to 0.787, while the average latency of the response generation for the configuration A7 is 2.395 seconds. Thus, it can be seen that there is a trade-off between the measured response quality and response generation latency, since the A7 configuration reached the highest latency in the tested configurations due to the additional operations performed during the personalization process. The diagram shown in Figure 5 represents the relationship between the response quality and latency of PsyAdapt configurations. The heatmap compares the mean number of response defects across different topics and configurations (A0–A7). It helps show how defect levels vary depending on the topic and system configuration. The Heatmap of Mean Response Defects Across Topics and PsyAdapt Configurations is shown in Figure 6.","The defect count for A7 is 0.69 per response, the lowest among the configurations, while its mean latency of 2.3 seconds is the highest, so the additional personalization operations buy a reduction in automatically detected faults at a cost in response time. Figure 5 shows the relationship between detected defects and latency across configurations. Figure 6 compares mean response defects across topics and configurations and indicates how defect levels vary by topic.",Values updated; trade-off wording kept factual,R07,tables/ablation_study.csv,RESOLVED
Figure 6 caption,(text appended to existing paragraph) Figure 6. Defects by topic and configuration [PENDING – the topic-level breakdow,[PENDING – the topic-level breakdown plotted in this figure must be regenerated from the revised per-response evaluation output; the revised result set supplied for this revision contains the aggregate defect counts reported in Table 10 and Table 16 but not the topic-level breakdown.],"The plotted values predate the revision and the underlying per-topic data were not supplied, so the figure is flagged rather than silently retained",R13 Figure,tables.zip (absent),NOT RESOLVED
4.6 Response Length Analysis,"Figure 7 demonstrates that the generic LLM configuration (A0) yields relatively short responses with median equaling about 159 words. At the same time, the standard RAG configuration (A1) features a larger median of the response length of approximately 166 words. Personalized configurations yield relatively long responses with the median of A7 being approximately 179 words. The information implies that the suggested system yields more detailed responses than the generic and the standard RAG configurations.","Figure 7 shows that the generic LLM configuration (A0) yields the shortest responses, with a median of 128 words and an interquartile range of 96 to 171 words. The standard RAG configuration (A1) has a median of 141 words, and the personalized configurations are longer, with A7 at a median of 172 words and an interquartile range of 131 to 214 words. The full distribution statistics for every configuration are reported in Table 14. The suggested system therefore yields more detailed responses than the generic and the standard RAG configurations.",Median lengths updated to the verified values,R18 Evaluation - length effect,tables/response_lengths.csv,RESOLVED
4.6 Response Length Analysis,"(text appended to existing paragraph) Overall, it is clear that PsyAdapt (A7) yields relatively detailed responses in ","Section 4.12 quantifies this concern: across the evaluated responses, length correlates with grounding support (rho = 0.56) and with BERTScore-F1 (rho = 0.41), so part of the difference between A7 and the shorter configurations may be a length effect rather than a content effect.",Reviewer required that length be controlled for or reported alongside the metrics,R18,tables/length_metric_correlations.csv,RESOLVED
4.7 SOTA Model Comparison,"PsyAdapt A7 was compared with three open weight large language models, including Gemma 3 4B, Llama 3.2 3B Instruct, and Mistral 7B Instruct. The comparison was carried out through the use of five evaluation criteria, which included BERTScore-F1, ROUGE-L F1, input relevance, grounding, and response defects. The evaluation criteria were used to measure response similarity, input relevance, grounding, and response defects.","PsyAdapt was compared with three open-weight large language models: Gemma 3 4B, Llama 3.2 3B Instruct, and Mistral 7B Instruct. The comparison reported in the previous version of this paper has been withdrawn for two reasons: it compared Qwen2.5-3B inside the framework against the other models outside it, which confounds the generator with the pipeline, and it reported a grounding-support value for models that performed no retrieval, although grounding support is defined only against retrieved passages. The revised comparison uses a generator-swap design in which each model is placed inside the identical pipeline and evaluated on the same 300 benchmark items with the same prompts, the same retrieval cache, the same greedy decoding settings, and the same metric implementations, so that the only difference between arms is the generator. Two arms are run per model: a bare arm with no retrieval, profile, or strategy guidance, which is the counterpart of A0, and a full-context arm, which is the counterpart of A7. Grounding support is computed only for the arms that actually retrieved passages and is left undefined for the bare arms.",Comparison redesigned as a generator swap inside the same pipeline; invalid grounding values for bare models removed,"R03, R04, R05 - constructed and confounded SOTA table; R31 required action","tables/sota_designA.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
Table 9 caption,"
Table 9. Comparative Evaluation of PsyAdapt with Selected LLM Baselines","Table 9. Comparative Evaluation of PsyAdapt with Selected Open-Weight LLMs under the Generator-Swap Design (identical benchmark, prompts, retrieval, decoding, and metrics)",Caption reflects the revised comparison design,"R03, R05",tables/sota_designA.csv,RESOLVED
Table 9,(previous table withdrawn),"PsyAdapt A7 – Qwen2.5-3B-Instruct, full context | 0.634 [0.628, 0.640] | 0.106 | 0.609 | 0.622 | 0.69 | 2.30 || Gemma 3 4B, full PsyAdapt context | 0.627 [0.621, 0.633] | 0.102 | 0.598 | 0.611 | 0.81 | 2.18 || Llama 3.2 3B Instruct, full PsyAdapt context | 0.623 [0.617, 0.629] | 0.101 | 0.596 | 0.607 | 0.85 | 2.06 || Mistral 7B Instruct, full PsyAdapt context | 0.630 [0.624, 0.636] | 0.104 | 0.604 | 0.615 | 0.77 | 2.40 || A0 – Qwen2.5-3B-Instruct, bare | 0.589 (CI not reported) | 0.081 | 0.553 | – (no retrieval) | 1.41 | 0.81 || Gemma 3 4B, bare | 0.582 [0.576, 0.588] | 0.078 | 0.549 | – (no r","Previous values were unverifiable and monotone, and assigned grounding scores to models without retrieval; replaced by measured generator-swap results with bootstrap confidence intervals","R03, R04",tables/sota_designA.csv,RESOLVED
4.7 SOTA Model Comparison,"As presented in Table 9, PsyAdapt A7 obtained the best BERTScore-F1 (0.632), ROUGE-L F1 (0.105), input relevance (0.607), and grounding (0.631) among the considered models, while it also showed the lowest defect score of 0.787. Among the baseline LLMs, Mistral 7B Instruct scored the highest on the four better-is-higher metrics and had the lowest defect score. These outcomes indicate that the proposed approach of using user profiling, adaptive strategies, and retrieval can positively influence response alignment and grounding in the psychoeducational dialogue task evaluated in this study. ","Table 9 and Figure 8 report the results. Among the full-context arms, the Qwen-based configuration records the highest mean BERTScore-F1 (0.634, 95% CI [0.628, 0.640]), followed by Mistral 7B Instruct (0.630, [0.624, 0.636]), Gemma 3 4B (0.627, [0.621, 0.633]), and Llama 3.2 3B Instruct (0.623, [0.617, 0.629]). These intervals overlap, so the ordering among generators is not established by this experiment and the differences are numerical only. The consistent separation is between context conditions rather than between models: every full-context arm exceeds its own bare counterpart by roughly 0.04 to 0.05 BERTScore-F1 and records roughly half as many detected defects per response, and the bare Qwen configuration (A0: BERTScore-F1 0.589, 1.41 defects) lies in the same range as the other bare models (0.580 to 0.586, 1.55 to 1.70 defects). The comparison therefore supports the claim that the PsyAdapt context improves the measured metrics for every generator tested, and it does not support a claim that a particular base model is superior or that the framework's advantage depends on the choice of generator.",Superiority claims replaced by the confidence-interval reading of the revised results,"R03, R05, R02",tables/sota_designA.csv,RESOLVED
4.7 SOTA Model Comparison (new Figure 8),(new content inserted), | Figure 8. Generator-swap comparison inside the identical PsyAdapt pipeline: BERTScore-F1 mean with 95% bootstrap confidence interval for each bare and full-context arm.,Reviewer required a defensible comparison; the confidence intervals are shown so that the overlap between generators is visible,"R03, R05, R32",tables/sota_designA.csv,RESOLVED
Table 10,A2 – RAG + User Profile + Classifier Strategy / col1: 0.631,0.629,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A2 – RAG + User Profile + Classifier Strategy / col2: 0.103,0.104,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A2 – RAG + User Profile + Classifier Strategy / col3: 0.604,0.603,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A2 – RAG + User Profile + Classifier Strategy / col4: 0.630,0.615,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A2 – RAG + User Profile + Classifier Strategy / col5: 0.789,0.74,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A2 – RAG + User Profile + Classifier Strategy / col6: 2.296,2.21,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A3 – Without Emotion Detection / col1: 0.626,0.621,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A3 – Without Emotion Detection / col3: 0.595,0.592,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A3 – Without Emotion Detection / col4: 0.613,0.598,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A3 – Without Emotion Detection / col5: 0.927,0.86,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A3 – Without Emotion Detection / col6: 2.212,2.12,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A4 – Without Personality Detection / col1: 0.629,0.626,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A4 – Without Personality Detection / col3: 0.606,0.601,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A4 – Without Personality Detection / col4: 0.621,0.608,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A4 – Without Personality Detection / col5: 0.787,0.76,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A4 – Without Personality Detection / col6: 2.311,2.19,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col1: 0.631,0.629,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col2: 0.103,0.104,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col3: 0.604,0.603,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col4: 0.629,0.614,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col5: 0.789,0.74,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col6: 2.372,2.20,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A6 – Without Strategy Guidance / col1: 0.625,0.617,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A6 – Without Strategy Guidance / col2: 0.099,0.097,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A6 – Without Strategy Guidance / col3: 0.599,0.593,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A6 – Without Strategy Guidance / col4: 0.629,0.604,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A6 – Without Strategy Guidance / col5: 0.907,0.89,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A6 – Without Strategy Guidance / col6: 1.950,1.87,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A7 – Full PsyAdapt / col1: 0.632,0.634,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A7 – Full PsyAdapt / col2: 0.105,0.106,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A7 – Full PsyAdapt / col3: 0.607,0.609,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A7 – Full PsyAdapt / col4: 0.631,0.622,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A7 – Full PsyAdapt / col5: 0.787,0.69,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A7 – Full PsyAdapt / col6: 2.395,2.30,Outdated value replaced with the verified updated result,"R02, R07",tables/ablation_study.csv,RESOLVED
Table 10,A5 – Without Memory / col0: A5 – Without Memory,A5 – Without Memory (single-turn control),Row relabelled because a single-turn benchmark cannot exercise memory,R13,tables/ablation_study.csv,RESOLVED
4.8 Ablation Study,"As can be seen from the Table 10 results, A7 configuration obtains the best BERTScore-F1, ROUGE-L F1 and input relevance among all the configurations tested. The A3 configuration, without emotion detection, demonstrates lower values of the above metrics as well as grounding support. Also, the A6 configuration, without strategy guidance, demonstrates low similarity and relevance and high defect ratio per response. It can be assumed that emotion detection and strategy guidance influence the response outcomes measured above.","Table 10 shows that the full configuration records the highest BERTScore-F1 (0.634), ROUGE-L F1 (0.106), input relevance (0.609), and grounding support (0.622) among the ablation configurations, and the lowest defect count (0.69 per response). Removing emotion detection (A3) lowers BERTScore-F1 to 0.621 and grounding support to 0.598 and raises defects to 0.86; removing strategy guidance (A6) lowers BERTScore-F1 to 0.617 and raises defects to 0.89, the highest value among the personalized configurations. Both differences from A7 remain significant after Holm correction (Table 12), so emotion conditioning and strategy guidance do affect the measured outcomes, with their clearest effect on the number of automatically detected defects.",Values updated and claims tied to the corrected statistics,"R02, R07","tables/ablation_study.csv, tables/statistical_contrasts_bertscore.csv",RESOLVED
4.8 Ablation Study,"A4 configuration obtains almost identical results compared with A7 except for BERTScore-F1, ROUGE-L F1, input relevance and grounding support are slightly lower. Defects per response are lower compared with A2 and A5 and equal to the corresponding metric of A7. It means that the effect of removal of personality detection is relatively small in this experiment.","Removing personality detection (A4) produces a smaller change: BERTScore-F1 falls to 0.626, input relevance to 0.601, and grounding support to 0.608, while defects rise to 0.76. The paired difference from A7 (+0.008 BERTScore-F1, Holm-corrected p = 0.019) is significant but is the smallest of the component ablations, which is consistent with the weak accuracy of the personality classifier reported in Table 11 and with the fact that the personality signal is injected only when its confidence exceeds the validation-selected threshold.",Values updated; effect size interpreted against classifier quality,"R02, R09","tables/ablation_study.csv, tables/statistical_contrasts_bertscore.csv, tables/component_classifiers.csv",RESOLVED
4.8 Ablation Study,"A5 configuration, without memory, obtains the same values of BERTScore-F1, ROUGE-L F1 and input relevance as A2. Grounding support value is 0.629 for A5 against 0.630 for A2. Number of defects per response is also the same. The reason why these results cannot prove the efficiency of memory lies in the fact that the benchmark used is single-turn and does not contain conversation history.","The A5 configuration differs from A2 only in that the conversation-memory element is switched off, and on a single-turn benchmark there is no conversation history to insert, so the two configurations receive effectively the same prompt: their BERTScore-F1, ROUGE-L F1, input relevance, and defect values are identical, and grounding support differs by 0.001. This row is therefore a control confirming that the ablation is inert in a single-turn setting, and it carries no information about the value of memory; the memory component is evaluated separately on multi-turn conversations in Section 4.11. Configuration A2 and configuration A6 differ only in strategy guidance: A2 inserts the strategy predicted by the classifier into the prompt, whereas A6 omits the strategy-guidance block entirely, and A7 replaces the classifier prediction with the adaptive strategy scorer described in Section 3.7.",Memory row reinterpreted as a control and the previously unstated A2/A6 difference explained,"R13, R22","tables/ablation_study.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
4.8 Ablation Study,"Concerning the latency, A7 configuration has the highest latency with 2.395 seconds and A6 the lowest among ablation configurations with 1.950 seconds. These results indicate the trade-off due to processing and response time of the complete framework. Thus, the obtained ablation results provide the descriptive comparison of configurations, and repeated experiments are required to prove statistical significance of the obtained results.","Latency follows the amount of context and processing: among the personalized configurations A6 is fastest at 1.87 seconds because it omits the strategy-guidance block, and A7 is slowest at 2.3 seconds. The ablation values are single-run point estimates, and they are accompanied by the paired analysis in Section 4.10; differences on metrics for which no paired test is reported should be treated as descriptive only.",Latency values updated and the statistical caveat retained,"R02, R07",tables/ablation_study.csv,RESOLVED
4.9 (new subsection),(new content inserted),"4.9 Component-Level Classifier Performance | The personalization signals used by the framework are produced by trained components, and their accuracy bounds how informative those signals can be. Each component was evaluated on the held-out test split of its own dataset, and the results are reported in Table 11. The per-response predictions from which per-class confusion matrices are derived are ex",Component-level classifier accuracy was never reported,"R09, R10, R33","tables/component_classifiers.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
4.10 (new subsection),(new content inserted),"4.10 Statistical Analysis of Configuration Differences | A single evaluation run produces point estimates only, so the configuration differences reported in Table 8 and Table 10 were re-analysed as paired comparisons over the same 300 benchmark items. For each contrast, per-item differences in BERTScore-F1 were tested with a two-sided Wilcoxon signed-rank test, summarized with a 95% bootstrap conf","Reviewer required bootstrap confidence intervals and paired tests for every configuration comparison, and that every 'better' claim be rewritten to match","R02, R32","tables/statistical_contrasts_bertscore.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
4.11 (new subsection),(new content inserted),"4.11 Multi-Turn Memory Experiment | The conversation-memory component cannot be evaluated on the single-turn benchmark, because a single-turn item contains no earlier turns to remember; the A5 row of Table 10 is a control rather than evidence about memory. Memory was therefore evaluated in a separate paired experiment on multi-turn conversations from the ESConv test set. Forty conversations with a",Reviewer required that memory be removed or evaluated on multi-turn data,"R13, R36","tables/memory_experiment.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
4.12 (new subsection),(new content inserted),"4.12 Response Length and Metric Validity | Response length differs systematically across configurations, and several of the automatic metrics are sensitive to it, so length is reported alongside the metrics rather than treated as neutral. Table 14 gives the length distribution per configuration in words. All configurations were generated under the same instruction to aim at approximately 150 to 20",Reviewer required that response length be controlled for or reported alongside the metrics,R18,"tables/response_lengths.csv, tables/length_metric_correlations.csv",PARTIALLY RESOLVED
4.13 (new subsection),(new content inserted),"4.13 Safety Screening and Defect Composition | The screens described in Section 3.9.2 and Section 3.10 were applied to every generated response, and the defect counts reported throughout Section 4 are their output. Table 16 reports the composition of the 0.69 defects per response recorded for the full configuration. | Table 16. Defect Composition of the Full PsyAdapt Configuration (A7) | TABLE | T",Reviewer required that the defect detector be defined and that safety screening be described,"R12, R07, R35","tables/defect_composition_A7.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
4.14 (new subsection),(new content inserted),"4.14 Human Evaluation: Protocol and Current Status | The automatic metrics used in Section 4.3 to Section 4.8 cannot determine whether a response is empathetic, helpful, or safe for a distressed user, so a blinded human evaluation is part of the evaluation design and its protocol is implemented in the pipeline. For a fixed sample of benchmark items, the responses of two configurations are presente","Reviewer required a blinded human evaluation on 50-100 items; the protocol is implemented but no annotations exist, so no human results are reported and the gap is stated","R07, R34",PsyAdapt_Reviewer_Revision.ipynb,REQUIRES HUMAN ACTION
4.15 (new subsection),(new content inserted),"4.15 Discussion | Read together, the results support a narrower claim than the configuration names suggest. The largest and most reliable gains come from the two simplest additions: retrieval, which raises BERTScore-F1 from 0.589 to 0.613 and reduces detected defects from 1.41 to 0.98 per response relative to the generic model, and user profiling with classifier-selected strategy guidance, which a",Reviewer noted there is no Discussion section,R25,"tables/ablation_study.csv, tables/statistical_contrasts_bertscore.csv, tables/sota_designA.csv",RESOLVED
4.16 (new subsection),(new content inserted),"4.16 Limitations | The following limitations qualify every result reported above. Evaluation is automatic only: BERTScore-F1, ROUGE-L F1, input relevance, grounding support, and the defect counts are proxies computed by software, and none of them measures empathy, helpfulness, clinical appropriateness, or harm. No clinical or expert validation was performed, and no human ratings were available for",Reviewer noted the absence of a Limitations section,"R25, R07, R14, R17, R18","tables/ablation_study.csv, tables/component_classifiers.csv, PsyAdapt_Reviewer_Revision.ipynb",RESOLVED
5. Conclusion and Future Work,"Our full PsyAdapt model (A7) attained BERTScore-F1 = 0.632, ROUGE-L F1 = 0.105, input relevance = 0.607, grounding support = 0.631, and response-defect = 0.787. In our comparative analysis, A7 showed higher values for all the chosen metrics in comparison with three stand-alone LLMs: Gemma 3 4B, Llama 3.2 3B Instruct, and Mistral 7B Instruct. The results of our ablation study helped us to investigate the effect of individual component removals and show differences in measured response quality for different configurations. Thus, we received preliminary evidence of the feasibility of the introduced personalized system.","Our full PsyAdapt configuration (A7) attained BERTScore-F1 = 0.634, ROUGE-L F1 = 0.106, input relevance = 0.609, grounding support = 0.622, 0.69 defects per response, and 2.3 s latency on the fixed 300-item benchmark. Paired analysis shows that this configuration is separated from the generic-LLM and standard-RAG baselines by margins that survive Holm correction, and from the emotion, personality, and strategy-guidance ablations by smaller but corrected-significant margins, whereas its advantage over the retrieval-plus-profiling configuration A2 (+0.005 BERTScore-F1, 95% CI [0.000, 0.010], Holm-corrected p = 0.287) is not statistically significant. In the generator-swap comparison, in which Gemma 3 4B, Llama 3.2 3B Instruct, and Mistral 7B Instruct were evaluated inside the identical pipeline, all full-context arms fall within overlapping confidence intervals, while every full-context arm is clearly separated from its own bare counterpart. The ablation study indicates that retrieval and user profiling account for most of the measured gain, and that emotion detection and adaptive strategy guidance mainly reduce the number of automatically detected response defects. A separate multi-turn experiment on 40 ESConv conversations provides preliminary evidence that conversation memory affects replies in multi-turn settings; the single-turn ablation does not test memory. No human or clinical evaluation was available for this study, so no claim about empathy, helpfulness, clinical safety, or therapeutic effect is made.",Conclusion aligned with the verified results; claim of superiority over three stand-alone LLMs and over A2 withdrawn,"R02, R03, R07, R13","tables/overall_A7.csv, tables/statistical_contrasts_bertscore.csv, tables/sota_designA.csv, tables/memory_experiment.csv",RESOLVED
5. Conclusion and Future Work,(text appended to existing paragraph) Future work will include the development of evaluation on more datasets and mult,"Specifically, the blinded pairwise human-evaluation protocol described in Section 4.14 will be completed with several annotators, including annotators with clinical training, and reported with inter-annotator agreement; paired significance testing will be extended to every automatic metric and to length-matched strata; the psychoeducational knowledge base will be enlarged; and the memory component will be evaluated on a larger multi-turn benchmark.",Future work made specific to the outstanding reviewer requirements,"R34, R36, R14",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Table 2,"NIH / NHLBI, WHO, NIMH resources / col3: 81 indexed text chunks","81 coarse chunks, re-chunked into ~500-character fine passages for retrieval [UNVERIFIED chunk counts]",Reflects the re-chunking used for retrieval; counts flagged for author confirmation,R14 Dataset - knowledge base size,PsyAdapt_Reviewer_Revision.ipynb,PARTIALLY RESOLVED
Table 3,Personality data / col3: SVM input representation,TF-IDF feature representation (linear SVM),Representation corrected to the implemented component,R09,tables/component_classifiers.csv,RESOLVED
Table 3,Strategy data / col2: Text tokenization and strategy-label preparation,Extraction of the dialogue history preceding the supporter turn (no supporter response); strategy-label preparation,Leakage-free input construction documented,R09,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Table 3,Strategy data / col3: DistilBERT input representation,TF-IDF (1-2 gram) feature representation (logistic regression),Representation corrected to the deployed classifier,R09,tables/component_classifiers.csv,RESOLVED
Algorithm 1,Divide the collected knowledge documents into smaller text chunks.,Divide the collected knowledge documents into text chunks of approximately 500 characters with 80-character overlap at sentence boundaries.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Train the DistilBERT-based support-strategy classifier using ESConv.,Train the context-only support-strategy classifier (TF-IDF features over the dialogue history preceding the supporter turn) using ESConv.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Receive the user's input .,Receive the user's input X.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Predict the user's emotional state using the emotion classifier.,Predict the user's emotional state E using the emotion classifier.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Estimate the user's personality profile using the personality classifier.,Estimate the user's personality profile P using the personality classifier.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Identify the user's need and contextual information .,Identify the user's need and contextual information N using the rule-based need/context module.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Construct the dynamic user representation using .,"Construct the dynamic user representation U = (E, P, N).",Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
Algorithm 1,Select an adaptive support strategy based on the user representation.,Select an adaptive support strategy S based on the user representation.,Step corrected to the implemented procedure / equation symbols restored as plain text,"R09, R13, R23, R02",PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
